flight_number,flight_date,origin,destination,tail_number,aircraft_type,gross_weight_cargo_kg,gross_volume_cargo_m3,passenger_count,baggage_weight_kg,fuel_weight_kg,fuel_price_per_kg,cargo_price_per_kg
AB101,2023-01-01,KUL,SIN,TN-ZNB,Boeing 737-800,1520,37,162,2430,8500,0.82,2.85
AB102,2023-01-01,KUL,SIN,TN-ZZB,Boeing 737-800,1580,38,158,2370,8450,0.82,2.85
AB201,2023-01-01,KUL,BKK,TN-ZNA,Airbus A330-300,12200,111,285,4275,42000,0.82,3.15
AB301,2023-01-01,SIN,HKG,TN-ZND,Airbus A330-200,11400,102,248,3720,38500,0.82,3.45
AB101,2023-01-02,KUL,SIN,TN-ZNB,Boeing 737-800,1490,36,159,2385,8520,0.82,2.85
AB102,2023-01-02,KUL,SIN,TN-ZZB,Boeing 737-800,1550,37,161,2415,8480,0.82,2.85
AB201,2023-01-02,KUL,BKK,TN-ZNA,Airbus A330-300,12350,112,288,4320,41800,0.82,3.15
AB101,2023-01-03,KUL,SIN,TN-ZNB,Boeing 737-800,1535,37,164,2460,8490,0.82,2.85
AB102,2023-01-03,KUL,SIN,TN-ZZB,Boeing 737-800,1560,38,160,2400,8510,0.82,2.85
AB201,2023-01-03,KUL,BKK,TN-ZNA,Airbus A330-300,12450,113,290,4350,41900,0.82,3.15
AB401,2023-01-03,KUL,PVG,TN-ZFB,Airbus A330-300,13100,119,295,4425,58000,0.82,3.85
AB501,2023-01-03,BKK,SGN,TN-ZNC,Boeing 737-900ER,1780,44,172,2580,9200,0.82,2.95
AB101,2023-01-04,KUL,SIN,TN-ZNB,Boeing 737-800,1510,37,161,2415,8505,0.82,2.85
AB102,2023-01-04,KUL,SIN,TN-ZZB,Boeing 737-800,1545,37,163,2445,8475,0.82,2.85
AB201,2023-01-04,KUL,BKK,TN-ZNA,Airbus A330-300,12380,112,287,4305,42100,0.82,3.15
AB301,2023-01-04,SIN,HKG,TN-ZND,Airbus A330-200,11550,103,252,3780,38200,0.82,3.45
AB101,2023-01-05,KUL,SIN,TN-ZNB,Boeing 737-800,1565,38,166,2490,8460,0.82,2.85
AB102,2023-01-05,KUL,SIN,TN-ZZB,Boeing 737-800,1590,38,165,2475,8440,0.82,2.85
AB201,2023-01-05,KUL,BKK,TN-ZNA,Airbus A330-300,12520,114,292,4380,41700,0.82,3.15
AB401,2023-01-05,KUL,PVG,TN-ZFB,Airbus A330-300,13250,120,298,4470,57800,0.82,3.85
AB501,2023-01-05,BKK,SGN,TN-ZNC,Boeing 737-900ER,1820,45,175,2625,9150,0.82,2.95
AB101,2023-01-06,KUL,SIN,TN-ZNB,Boeing 737-800,1540,37,163,2445,8485,0.82,2.85
AB102,2023-01-06,KUL,SIN,TN-ZZB,Boeing 737-800,1575,38,167,2505,8455,0.82,2.85
AB201,2023-01-06,KUL,BKK,TN-ZNA,Airbus A330-300,12600,115,294,4410,41600,0.82,3.15
AB301,2023-01-06,SIN,HKG,TN-ZND,Airbus A330-200,11680,104,255,3825,38000,0.82,3.45
AB101,2023-01-07,KUL,SIN,TN-ZNB,Boeing 737-800,1580,38,168,2520,8430,0.82,2.85
AB102,2023-01-07,KUL,SIN,TN-ZZB,Boeing 737-800,1610,39,170,2550,8400,0.82,2.85
AB201,2023-01-07,KUL,BKK,TN-ZNA,Airbus A330-300,12750,116,297,4455,41500,0.82,3.15
AB401,2023-01-07,KUL,PVG,TN-ZFB,Airbus A330-300,13400,122,302,4530,57600,0.82,3.85
AB101,2023-01-08,KUL,SIN,TN-ZNB,Boeing 737-800,1555,38,165,2475,8470,0.82,2.85
AB102,2023-01-08,KUL,SIN,TN-ZZB,Boeing 737-800,1595,38,169,2535,8420,0.82,2.85
AB201,2023-01-08,KUL,BKK,TN-ZNA,Airbus A330-300,12680,115,295,4425,41650,0.82,3.15
AB301,2023-01-08,SIN,HKG,TN-ZND,Airbus A330-200,11750,105,258,3870,37800,0.82,3.45
AB101,2023-01-09,KUL,SIN,TN-ZNB,Boeing 737-800,1600,39,170,2550,8390,0.82,2.85
AB102,2023-01-09,KUL,SIN,TN-ZZB,Boeing 737-800,1625,39,172,2580,8370,0.82,2.85
AB201,2023-01-09,KUL,BKK,TN-ZNA,Airbus A330-300,12850,117,299,4485,41400,0.82,3.15
AB501,2023-01-09,BKK,SGN,TN-ZNC,Boeing 737-900ER,1860,46,178,2670,9100,0.82,2.95
AB101,2023-01-10,KUL,SIN,TN-ZNB,Boeing 737-800,1620,39,172,2580,8360,0.82,2.85
AB102,2023-01-10,KUL,SIN,TN-ZZB,Boeing 737-800,1640,40,174,2610,8340,0.82,2.85
AB201,2023-01-10,KUL,BKK,TN-ZNA,Airbus A330-300,12950,118,302,4530,41300,0.82,3.15
AB401,2023-01-10,KUL,PVG,TN-ZFB,Airbus A330-300,13550,123,306,4590,57400,0.82,3.85
AB301,2023-01-10,SIN,HKG,TN-ZND,Airbus A330-200,11850,106,260,3900,37600,0.82,3.45
AB101,2023-01-11,KUL,SIN,TN-ZNB,Boeing 737-800,1635,40,174,2610,8345,0.82,2.85
AB102,2023-01-11,KUL,SIN,TN-ZZB,Boeing 737-800,1660,40,176,2640,8320,0.82,2.85
AB201,2023-01-11,KUL,BKK,TN-ZNA,Airbus A330-300,13050,119,305,4575,41200,0.82,3.15
AB501,2023-01-11,BKK,SGN,TN-ZNC,Boeing 737-900ER,1890,47,180,2700,9050,0.82,2.95
AB101,2023-01-12,KUL,SIN,TN-ZNB,Boeing 737-800,1650,40,175,2625,8330,0.83,2.85
AB102,2023-01-12,KUL,SIN,TN-ZZB,Boeing 737-800,1680,41,178,2670,8300,0.83,2.85
AB201,2023-01-12,KUL,BKK,TN-ZNA,Airbus A330-300,13150,120,308,4620,41100,0.83,3.15
AB401,2023-01-12,KUL,PVG,TN-ZFB,Airbus A330-300,13680,124,310,4650,57200,0.83,3.9
AB101,2023-01-13,KUL,SIN,TN-ZNB,Boeing 737-800,1670,41,177,2655,8310,0.83,2.85
AB102,2023-01-13,KUL,SIN,TN-ZZB,Boeing 737-800,1700,41,180,2700,8280,0.83,2.85
AB201,2023-01-13,KUL,BKK,TN-ZNA,Airbus A330-300,13280,121,311,4665,41000,0.83,3.15
AB301,2023-01-13,SIN,HKG,TN-ZND,Airbus A330-200,12050,108,265,3975,37400,0.83,3.5
AB501,2023-01-13,BKK,SGN,TN-ZNC,Boeing 737-900ER,1920,48,183,2745,9000,0.83,2.95
AB101,2023-01-14,KUL,SIN,TN-ZNB,Boeing 737-800,1690,41,179,2685,8290,0.83,2.9
AB102,2023-01-14,KUL,SIN,TN-ZZB,Boeing 737-800,1720,42,182,2730,8260,0.83,2.9
AB201,2023-01-14,KUL,BKK,TN-ZNA,Airbus A330-300,13400,122,314,4710,40900,0.83,3.2
AB401,2023-01-14,KUL,PVG,TN-ZFB,Airbus A330-300,13800,125,315,4725,57000,0.83,3.95
AB101,2023-01-15,KUL,SIN,TN-ZNB,Boeing 737-800,1710,42,181,2715,8270,0.83,2.9
AB102,2023-01-15,KUL,SIN,TN-ZZB,Boeing 737-800,1740,42,184,2760,8240,0.83,2.9
AB201,2023-01-15,KUL,BKK,TN-ZNA,Airbus A330-300,13520,123,317,4755,40800,0.83,3.2
AB301,2023-01-15,SIN,HKG,TN-ZND,Airbus A330-200,12200,109,270,4050,37200,0.83,3.55
AB101,2023-01-16,KUL,SIN,TN-ZNB,Boeing 737-800,1725,42,183,2745,8255,0.83,2.9
AB102,2023-01-16,KUL,SIN,TN-ZZB,Boeing 737-800,1755,43,186,2790,8225,0.83,2.9
AB201,2023-01-16,KUL,BKK,TN-ZNA,Airbus A330-300,13650,124,320,4800,40700,0.83,3.25
AB501,2023-01-16,BKK,SGN,TN-ZNC,Boeing 737-900ER,1950,48,186,2790,8950,0.83,3
AB101,2023-01-17,KUL,SIN,TN-ZNB,Boeing 737-800,1740,42,185,2775,8240,0.84,2.95
AB102,2023-01-17,KUL,SIN,TN-ZZB,Boeing 737-800,1770,43,188,2820,8210,0.84,2.95
AB201,2023-01-17,KUL,BKK,TN-ZNA,Airbus A330-300,13750,125,323,4845,40600,0.84,3.25
AB401,2023-01-17,KUL,PVG,TN-ZFB,Airbus A330-300,13950,127,320,4800,56800,0.84,4
AB301,2023-01-17,SIN,HKG,TN-ZND,Airbus A330-200,12350,110,275,4125,37000,0.84,3.6
AB101,2023-01-18,KUL,SIN,TN-ZNB,Boeing 737-800,1755,43,187,2805,8225,0.84,2.95
AB102,2023-01-18,KUL,SIN,TN-ZZB,Boeing 737-800,1785,43,190,2850,8195,0.84,2.95
AB201,2023-01-18,KUL,BKK,TN-ZNA,Airbus A330-300,13850,126,326,4890,40500,0.84,3.3
AB501,2023-01-18,BKK,SGN,TN-ZNC,Boeing 737-900ER,1980,49,189,2835,8900,0.84,3.05
AB101,2023-01-19,KUL,SIN,TN-ZNB,Boeing 737-800,1770,43,189,2835,8210,0.84,2.95
AB102,2023-01-19,KUL,SIN,TN-ZZB,Boeing 737-800,1800,44,192,2880,8180,0.84,2.95
